PassengerId,Full Name,Title,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,OwenHarris,Mr,0,3,male,22.0,1,0,7.25,S
2,JohnBradley,,1,1,female,38.0,1,0,71.2833,C
3,Laina,,1,3,female,26.0,0,0,7.925,S
4,JacquesHeath,,1,1,female,35.0,1,0,53.1,S
5,WilliamHenry,Mr,0,3,male,35.0,0,0,8.05,S
6,James,Mr,0,3,male,28.0,0,0,8.4583,Q
7,TimothyJ,Mr,0,1,male,54.0,0,0,51.8625,S
8,GostaLeonard,Master,0,3,male,2.0,3,1,21.075,S
9,OscarW,,1,3,female,27.0,0,2,11.1333,S
10,Nicholas,,1,2,female,14.0,1,0,30.0708,C
11,MargueriteRut,,1,3,female,4.0,1,1,16.7,S
12,Elizabeth,,1,1,female,58.0,0,0,26.55,S
13,WilliamHenry,Mr,0,3,male,20.0,0,0,8.05,S
14,AndersJohan,Mr,0,3,male,39.0,1,5,31.275,S
15,HuldaAmandaAdolfina,,0,3,female,14.0,0,0,7.8542,S
16,,,1,2,female,55.0,0,0,16.0,S
17,Eugene,Master,0,3,male,2.0,4,1,29.125,Q
18,CharlesEugene,Mr,1,2,male,28.0,0,0,13.0,S
19,Julius,,0,3,female,31.0,1,0,18.0,S
20,Fatima,,1,3,female,28.0,0,0,7.225,C
21,JosephJ,Mr,0,2,male,35.0,0,0,26.0,S
22,Lawrence,Mr,1,2,male,34.0,0,0,13.0,S
23,AnnaAnnie,,1,3,female,15.0,0,0,8.0292,Q
24,WilliamThompson,Mr,1,1,male,28.0,0,0,35.5,S
25,TorborgDanira,,0,3,female,8.0,3,1,21.075,S
26,CarlOscar,,1,3,female,38.0,1,5,31.3875,S
27,FarredChehab,Mr,0,3,male,28.0,0,0,7.225,C
28,CharlesAlexander,Mr,0,1,male,19.0,3,2,263.0,S
29,EllenNellie,,1,3,female,28.0,0,0,7.8792,Q
30,Lalio,Mr,0,3,male,28.0,0,0,7.8958,S
31,ManuelE,Royalty,0,1,male,40.0,0,0,27.7208,C
32,WilliamAugustus,,1,1,female,28.0,1,0,146.5208,C
33,MaryAgatha,,1,3,female,28.0,0,0,7.75,Q
34,EdwardH,Mr,0,2,male,66.0,0,0,10.5,S
